iteration,accepted,iteration_time_s,replay_buffer_positions,replay_buffer_iterations,train_approx_identity_check,train_ce_minus_policy_entropy,train_grad_norm,train_kl_divergence,train_ownership_accuracy,train_ownership_accuracy_all_filled_baseline,train_ownership_balanced_accuracy,train_ownership_empty_precision,train_ownership_empty_recall,train_ownership_filled_fraction_mean,train_ownership_loss,train_ownership_mae_empty_count,train_policy_accuracy,train_policy_cross_entropy,train_policy_entropy,train_policy_loss,train_policy_top5_accuracy,train_score_loss,train_step_skip_rate,train_target_entropy,train_total_loss,train_value_loss,train_value_mse,selfplay_avg_game_length,selfplay_avg_num_legal,selfplay_avg_policy_entropy,selfplay_avg_redundancy,selfplay_avg_root_q,selfplay_avg_top1_prob,selfplay_games_per_minute,selfplay_generation_time,selfplay_num_games,selfplay_num_positions,selfplay_p0_wins,selfplay_p1_wins,selfplay_selfplay_avg_final_empty_components_abs_diff,selfplay_selfplay_avg_final_empty_components_mean,selfplay_selfplay_avg_final_empty_squares_abs_diff,selfplay_selfplay_avg_final_empty_squares_mean,selfplay_selfplay_avg_final_isolated_1x1_holes_abs_diff,selfplay_selfplay_avg_final_isolated_1x1_holes_mean,selfplay_selfplay_avg_root_expanded_count,selfplay_selfplay_avg_root_expanded_ratio,selfplay_selfplay_avg_root_legal_count,selfplay_selfplay_p50_final_empty_components_mean,selfplay_selfplay_p50_final_empty_squares_mean,selfplay_selfplay_p50_final_isolated_1x1_holes_mean,selfplay_selfplay_p90_final_empty_components_mean,selfplay_selfplay_p90_final_empty_squares_mean,selfplay_selfplay_p90_final_isolated_1x1_holes_mean,selfplay_selfplay_p90_root_expanded_ratio,selfplay_selfplay_p90_root_legal_count,selfplay_unique_positions,eval_vs_previous_best_avg_game_length,eval_vs_previous_best_avg_loss_margin,eval_vs_previous_best_avg_model_score_margin,eval_vs_previous_best_avg_score_diff,eval_vs_previous_best_avg_win_margin,eval_vs_previous_best_baseline_wins,eval_vs_previous_best_model_wins,eval_vs_previous_best_ties,eval_vs_previous_best_total_games,eval_vs_previous_best_win_rate,applied_adaptive_games_anti_thrash_bounds,applied_adaptive_games_anti_thrash_fill,applied_adaptive_games_anti_thrash_prev,applied_adaptive_games_avg_len_est,applied_adaptive_games_clamp_high,applied_adaptive_games_clamp_low,applied_adaptive_games_fill_mode,applied_adaptive_games_games_needed,applied_adaptive_games_games_this_iter,applied_adaptive_games_max_size,applied_adaptive_games_scheduled_games,applied_adaptive_games_scheduled_window_iters,applied_adaptive_games_target_pos_iter,applied_adaptive_games_warnings,applied_replay_max_size,applied_replay_newest_fraction,applied_replay_recency_window,applied_replay_window_iterations,applied_selfplay_cpuct,applied_selfplay_dirichlet_alpha,applied_selfplay_dynamic_score_utility_weight,applied_selfplay_games,applied_selfplay_noise_weight,applied_selfplay_parallel_leaves,applied_selfplay_policy_target_mode,applied_selfplay_q_value_weight,applied_selfplay_simulations,applied_selfplay_static_score_utility_weight,applied_selfplay_temperature,applied_training_amp_dtype,applied_training_batch_size,applied_training_lr,applied_training_q_value_weight
70,True,2202.997636795044,300095,9,1.2355415379859012e-07,-0.000804834454147904,0.41145829734978856,0.28879525076459955,0.8609736806816525,,,,,,0.3006576796924626,,0.5909271174006991,2.8882421409642256,2.889046975418373,2.8882421409642256,0.8270955669659156,3.311233854735339,0.0,2.599446890089247,3.4183801222730565,0.15391593736906845,0.15391593736906845,42.57874519846351,163.5022851450643,2.667464951504628,0.12847622833540465,-0.04404600795228506,0.3624507344470066,28.53734915016351,1642.0586142539978,781,33254,440,341,,,,,,,,,,,,,,,,,,28899,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,"[703, 861]",,782,42.6905,998,747,False,781,781,300000,831,9,33334,[],300000,0.25,0.0,9,1.45,0.1,0.3,781,0.25,56,visits,0.25,208,0.0,1.0,bfloat16,1024,0.0012,0.25
71,True,1785.389414548874,33806,1,1.171116032823662e-07,0.015033125877380371,0.4602279160772601,0.5528832039525432,0.8649983761772033,0.82770439021049,0.6478770930478011,0.7598153351510257,0.31660252830789193,0.82770439021049,0.29613354850199913,17.231684038715976,0.5818687917724732,2.9126313963244037,2.8975982704470233,2.9126313963244037,0.8309298349965004,3.349094863860838,0.0,2.359748163530903,3.5562751139363935,0.2643141953214522,0.2643141953214522,42.576826196473554,164.09581623872677,2.4021705106456084,0.12382742182964768,-0.033807625765815766,0.4099961387778946,28.365460433410153,1679.507375240326,794,33806,467,327,2.5163727959697733,7.483627204030227,4.6498740554156175,13.92191435768262,2.4445843828715366,4.821788413098237,89.22564041886056,0.8467776650241352,164.10175708454122,7.5,13.5,4.75,9.5,18.5,7.0,1.0,450.5,29544,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,"[702, 860]",,781,42.0,998,747,False,794,794,300000,831,9,33334,[],300000,0.25,0.0,9,1.45,0.1,0.3,794,0.25,56,visits,0.25,208,0.0,1.0,bfloat16,1024,0.0012,0.25
72,True,1783.8225226402283,66692,2,1.1671842218656062e-07,0.001091386874516805,0.39800498833258946,0.5413204692304134,0.8616247475147247,0.8236207515001297,0.6495060948409546,0.7516904436084525,0.3217801846707702,0.8236207515001297,0.30058454523483913,17.438644886016846,0.586691897114118,2.9165870745976767,2.91549568772316,2.9165870745976767,0.8332441349824269,3.3594001094500223,0.0,2.3752666175365444,3.5259065488974253,0.22829178335765998,0.22829178335765998,42.0537084398977,165.8985622990015,2.42793433247826,0.12536388754660654,-0.004000277589004083,0.40389891019065366,28.384357121035112,1653.0231704711914,782,32886,415,367,2.5179028132992327,7.532608695652174,4.842710997442455,14.614450127877237,2.4820971867007673,4.718030690537084,89.91434044882321,0.8459820199679801,165.91671227878123,7.5,14.0,4.5,9.5,19.5,6.5,1.0,453.0,28692,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,"[555, 1033]",True,794,42.629,1247,747,True,782,782,300000,831,9,33334,[],300000,0.25,0.0,9,1.45,0.1,0.3,782,0.25,56,visits,0.25,208,0.0,1.0,bfloat16,1024,0.0012,0.25
73,True,1785.2517457008362,99757,3,1.1715195450771412e-07,-1.8962224324544318e-05,0.41545823680029975,0.5322248271769947,0.8606928136613634,0.8229004346662098,0.6490431730386528,0.7487059203821137,0.3213109036635218,0.8229004346662098,0.3014834286438094,17.521264203389485,0.5891447093751696,2.921874324480693,2.921893286705017,2.921874324480693,0.838414505455229,3.363952154583401,0.0,2.3896495117081535,3.5175125281016033,0.21402045894000266,0.21402045894000266,42.01397712833545,167.05417454664624,2.4593669907515814,0.12423576312221504,-0.012015107443324345,0.39856945937803206,28.798018381448152,1639.6961545944214,787,33065,449,338,2.416772554002541,7.351969504447268,5.03430749682338,14.433290978398983,2.3113087674714103,4.5952986022871665,90.58790261605928,0.8440762547480503,166.98345682746105,7.5,14.0,4.5,9.0,20.0,6.5,1.0,459.0,28879,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,"[547, 1017]",True,782,42.4031,1247,747,True,787,787,300000,831,9,33334,[],300000,0.25,0.0,9,1.45,0.1,0.3,787,0.25,56,visits,0.25,208,0.0,1.0,bfloat16,1024,0.0012,0.25
74,True,1821.3454740047455,133024,4,1.1707640178807803e-07,-0.0007944395144780477,0.41002102972318727,0.5249588665862879,0.861158416668574,0.8236355548103651,0.6489967291139542,0.7476154302038163,0.32121891453698215,0.8236355548103651,0.30068576062719027,17.470977465311684,0.5916489621003469,2.921001638968786,2.9217960784832635,2.921001638968786,0.8413866770764191,3.3549950420856476,0.0,2.3960427790880203,3.5067656209071476,0.20516160825888316,0.20516160825888316,42.11012658227848,172.15337287255292,2.465746250635453,0.12376212729484738,-0.015274933962768793,0.3974976380988791,28.520943763351767,1661.9365892410278,790,33267,442,348,2.5569620253164556,7.1556962025316455,5.148101265822785,14.091772151898734,2.4556962025316458,4.510126582278481,92.0759611627138,0.8362852814983532,172.24270297892807,7.0,13.5,4.5,9.0,19.5,6.5,1.0,471.0,29074,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,"[550, 1024]",True,787,42.2148,1247,747,True,790,790,300000,831,9,33334,[],300000,0.25,0.0,9,1.45,0.1,0.3,790,0.25,56,visits,0.25,208,0.0,1.0,bfloat16,1024,0.0012,0.25
75,True,1844.5520267486572,166550,5,1.1735461910689082e-07,-0.0006159281730651856,0.42787844563523925,0.5170805442333222,0.861815011103948,0.8249643339713415,0.6474846863783998,0.747821368773917,0.31770989937739186,0.8249643339713415,0.29978709131479264,17.459265365600587,0.5966057691971461,2.921635000705719,2.922250928878784,2.921635000705719,0.8457797076304754,3.3457703932126366,0.0,2.404554460843404,3.5027479887008663,0.2015678695340951,0.2015678695340951,42.277427490542244,176.07489499207023,2.4724485959661093,0.12459427138759999,-0.01417147033360063,0.39809854967028274,28.325376327166353,1679.765855550766,793,33526,449,344,2.488020176544767,7.030895334174023,4.915510718789407,13.721311475409836,2.3972257250945774,4.479823455233292,93.4273698025413,0.831614936544323,176.27509992244825,7.0,13.0,4.5,9.0,18.5,6.5,1.0,480.0,29268,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,"[553, 1027]",True,790,42.0593,1247,747,True,793,793,300000,831,9,33334,[],300000,0.25,0.0,9,1.45,0.1,0.3,793,0.25,56,visits,0.25,208,0.0,1.0,bfloat16,1024,0.0012,0.25
76,True,1881.2066490650177,200057,6,1.1702618603553421e-07,-0.0005162424511379666,0.42719838180475767,0.5119975031250052,0.8624826686249839,0.8261997943123182,0.6466253836437519,0.7470039673429942,0.3157575551022087,0.8261997943123182,0.29899406714571847,17.415681431028577,0.6005947887897491,2.916191300418642,2.91670754286978,2.916191300418642,0.8498180755310589,3.3346151298946802,0.0,2.4041937940650513,3.4900379306740232,0.19553601501716508,0.19553601501716508,42.30681818181818,176.25937580012874,2.4557023745540425,0.12449613405240482,-0.019747721109950045,0.4018471871155382,27.953659404623355,1699.9563210010529,792,33507,455,337,2.419191919191919,6.886363636363637,4.873737373737374,13.508838383838384,2.287878787878788,4.388888888888889,93.50622258035634,0.8323048952435022,176.3693258125168,7.0,13.0,4.5,9.0,18.94999999999999,6.5,1.0,481.0,29260,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,"[555, 1031]",True,793,42.1338,1247,747,True,792,792,300000,831,9,33334,[],300000,0.25,0.0,9,1.45,0.1,0.3,792,0.25,56,visits,0.25,208,0.0,1.0,bfloat16,1024,0.0012,0.25
77,True,1859.0693516731262,233559,7,1.1677787813571934e-07,-0.0002873852139427548,0.4176163570511909,0.506450120537054,0.8632923099256697,0.827551866996856,0.6454916615069659,0.7474863303957975,0.3130224411893042,0.827551866996856,0.29793457197291506,17.389794794718426,0.6023427621239708,2.9133537008648824,2.913641086078825,2.9133537008648824,0.8532313695975713,3.32918613865262,0.0,2.406903580256871,3.481027924446833,0.1900654238604364,0.1900654238604364,42.40759493670886,174.66866832310072,2.445051005857954,0.1231859900013333,-0.01551633292286034,0.40376098542327266,28.43141098759246,1667.170159816742,790,33502,426,364,2.408860759493671,6.8386075949367084,4.720253164556962,13.24746835443038,2.3556962025316457,4.346202531645569,94.09668079517641,0.8331202163884763,174.80687720136112,7.0,12.5,4.5,8.5,18.0,6.5,1.0,473.0,29294,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,"[554, 1030]",True,792,42.2315,1247,747,True,790,790,300000,831,9,33334,[],300000,0.25,0.0,9,1.45,0.1,0.3,790,0.25,56,visits,0.25,208,0.0,1.0,bfloat16,1024,0.0012,0.25
78,True,1898.880710363388,267082,8,1.1714588694644589e-07,-0.0008346989750862121,0.4161649405956268,0.5007185568412145,0.8640636535982291,0.8285955083866914,0.6450040189129634,0.7485128805471302,0.3116769787640397,0.8285955083866914,0.29687288142740725,17.33927185932795,0.6051975046594937,2.9019537861148517,2.9027884850899377,2.9019537861148517,0.8567515426625808,3.318524673084418,0.0,2.4012352163592974,3.4621915931502976,0.1838544080965221,0.1838544080965221,42.54187817258883,173.16399599619328,2.417871718950093,0.12566954649677095,-0.022258402558175395,0.40835649661453904,28.216267454730083,1675.6291410923004,788,33523,416,372,2.503807106598985,6.891497461928934,4.969543147208122,13.248730964467006,2.350253807106599,4.402284263959391,92.98487605524565,0.836685933445332,173.23691197088567,7.0,12.5,4.5,8.5,18.0,6.5,1.0,473.0,29232,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,"[553, 1027]",True,790,42.3306,1247,747,True,788,788,300000,831,9,33334,[],300000,0.25,0.0,9,1.45,0.1,0.3,788,0.25,56,visits,0.25,208,0.0,1.0,bfloat16,1024,0.0012,0.25
79,True,1963.9564681053162,300552,9,1.1643551816207407e-07,-0.0006717271274990506,0.41687752223677105,0.4978785710202323,0.8643690520966494,0.8290643486711714,0.6448616548906461,0.7482292250958575,0.3113279695534409,0.8290643486711714,0.2964876883007862,17.31211543966223,0.6077196307756283,2.89733859344765,2.898010320575149,2.89733859344765,0.8589630991220474,3.313075614417041,0.0,2.3994600216547646,3.4540541264745928,0.18093481593661837,0.18093481593661837,42.58269720101781,174.3028069032398,2.426014312978006,0.12633922668989633,-0.02414205576341336,0.4082469916811702,28.271323429580516,1668.1214134693146,786,33470,440,346,2.4567430025445294,6.951017811704834,4.760814249363868,13.51908396946565,2.366412213740458,4.438931297709924,93.96080071706005,0.8352652639554197,174.50011951000897,7.0,13.0,4.5,9.0,18.5,6.5,1.0,474.1000000000022,29155,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,"[551, 1025]",True,788,42.4188,1247,747,True,786,786,300000,831,9,33334,[],300000,0.25,0.0,9,1.45,0.1,0.3,786,0.25,56,visits,0.25,208,0.0,1.0,bfloat16,1024,0.0012,0.25
